2727,PSV Eindhoven - FC Twente Enschede,6,1
7917,VfB Stuttgart - Union Berlin,3,2
7219,MVV Maastricht - Vitesse Arnhem,2,2
2886,FC Annecy - Clermont Foot 63,1,0
6926,FC Dordrecht - SC Telstar,3,2
